trip_id,vehicle_id,longitude,latitude,tstamp,speed
241901836,3905,-122.562455,45.529522,2023-01-20 17:07:32,6.6
241901836,3905,-122.562882,45.529528,2023-01-20 17:07:37,6.4
241901836,3905,-122.56321,45.529533,2023-01-20 17:07:42,4.8
241901836,3905,-122.56332,45.529533,2023-01-20 17:07:47,1.6
241901836,3905,-122.563555,45.529568,2023-01-20 17:07:52,3.8
241901836,3905,-122.563712,45.529715,2023-01-20 17:07:57,4.0
241901836,3905,-122.563732,45.529943,2023-01-20 17:08:02,5.0
241901836,3905,-122.563763,45.530163,2023-01-20 17:08:07,5.2
241901836,3905,-122.563842,45.530413,2023-01-20 17:08:12,5.4
241901836,3905,-122.563853,45.530587,2023-01-20 17:08:17,3.4
241901869,3905,-122.563292,45.530315,2023-01-20 17:30:18,0.2505677517032551
241901869,3905,-122.563225,45.530158,2023-01-20 17:30:23,3.4
241901869,3905,-122.563218,45.530013,2023-01-20 17:30:28,3.2
241901869,3905,-122.56305,45.529518,2023-01-20 17:32:23,0.4782608695652174
241901869,3905,-122.562702,45.529472,2023-01-20 17:32:28,5.2
241901869,3905,-122.562308,45.52949,2023-01-20 17:32:33,6.2
241901869,3905,-122.562158,45.529503,2023-01-20 17:32:38,2.2
241901869,3905,-122.562038,45.529503,2023-01-20 17:32:43,1.8
241901869,3905,-122.561662,45.529503,2023-01-20 17:32:48,5.6
241901869,3905,-122.56123,45.529482,2023-01-20 17:32:53,6.6
241901869,3905,-122.560832,45.529483,2023-01-20 17:32:58,6.2
241901869,3905,-122.559723,45.529503,2023-01-20 17:33:08,8.5
241901869,3905,-122.55918,45.52951,2023-01-20 17:33:13,8.4
241901869,3905,-122.558663,45.529507,2023-01-20 17:33:18,7.8
241901869,3905,-122.558253,45.529502,2023-01-20 17:33:23,6.4
241901869,3905,-122.558038,45.529582,2023-01-20 17:33:27,4.75
241901869,3905,-122.557983,45.529985,2023-01-20 17:33:33,7.0
241901869,3905,-122.557985,45.53032,2023-01-20 17:33:38,7.4
241901869,3905,-122.557987,45.53062,2023-01-20 17:33:43,6.6
241901869,3905,-122.55799,45.530843,2023-01-20 17:33:48,5.0
241901869,3905,-122.557995,45.530947,2023-01-20 17:33:53,2.2
241901869,3905,-122.557995,45.530955,2023-01-20 17:33:56,0.3333333333333333
241901869,3905,-122.557995,45.530955,2023-01-20 17:33:58,0.0
241901869,3905,-122.557995,45.530955,2023-01-20 17:34:02,0.0
241901869,3905,-122.557995,45.530958,2023-01-20 17:34:03,0.0
241901869,3905,-122.557993,45.531137,2023-01-20 17:34:08,3.8
241901869,3905,-122.55799,45.531433,2023-01-20 17:34:13,6.6
241901869,3905,-122.55798,45.53159,2023-01-20 17:34:18,3.4
241901869,3905,-122.557982,45.531607,2023-01-20 17:34:23,0.4
241901869,3905,-122.55799,45.531855,2023-01-20 17:34:28,5.4
241901869,3905,-122.55799,45.532307,2023-01-20 17:34:33,10.0
241901869,3905,-122.557987,45.532773,2023-01-20 17:34:38,10.2
241901869,3905,-122.557983,45.533197,2023-01-20 17:34:43,9.4
241901869,3905,-122.557978,45.53358,2023-01-20 17:34:48,8.4
241901869,3905,-122.557972,45.534023,2023-01-20 17:34:53,9.6
241901869,3905,-122.557972,45.534535,2023-01-20 17:34:58,11.2
241901869,3905,-122.55797,45.535103,2023-01-20 17:35:03,12.6
241901869,3905,-122.557988,45.535682,2023-01-20 17:35:08,12.6
241901869,3905,-122.557988,45.53625,2023-01-20 17:35:13,12.6
241901869,3905,-122.557982,45.536847,2023-01-20 17:35:18,13.0
241901869,3905,-122.557972,45.537443,2023-01-20 17:35:23,13.2
241901869,3905,-122.557962,45.538062,2023-01-20 17:35:28,13.6
241901869,3905,-122.557953,45.538668,2023-01-20 17:35:33,13.2
241901869,3905,-122.557947,45.539247,2023-01-20 17:35:38,12.8
241901869,3905,-122.55794,45.539805,2023-01-20 17:35:43,12.2
241901869,3905,-122.557932,45.54035,2023-01-20 17:35:48,12.0
241901869,3905,-122.557925,45.540957,2023-01-20 17:35:53,13.4
241901869,3905,-122.557913,45.541568,2023-01-20 17:35:58,13.4
241901869,3905,-122.557882,45.542148,2023-01-20 17:36:03,12.8
241901869,3905,-122.557843,45.542748,2023-01-20 17:36:08,13.2
241901869,3905,-122.55783,45.543335,2023-01-20 17:36:13,12.8
241901869,3905,-122.557823,45.543907,2023-01-20 17:36:18,12.6
